t_k,alpha_tk,nu_tk,r_t,V_irs
0.25000000,0.05000686,0.00740722,0.04735495,-0.01291226
0.25000000,0.05000686,0.00740722,0.05595919,0.03097919
0.25000000,0.05000686,0.00740722,0.06275298,0.06413574
0.25000000,0.05000686,0.00740722,0.03976874,-0.05345345
0.25000000,0.05000686,0.00740722,0.05291662,0.01570591
0.25000000,0.05000686,0.00740722,0.04229932,-0.03973265
0.25000000,0.05000686,0.00740722,0.05352304,0.01877141
0.25000000,0.05000686,0.00740722,0.04903587,-0.00416625
0.25000000,0.05000686,0.00740722,0.03644494,-0.07178155
0.25000000,0.05000686,0.00740722,0.05688296,0.03556383
0.25000000,0.05000686,0.00740722,0.04552549,-0.02252774
0.25000000,0.05000686,0.00740722,0.04605214,-0.01974931
0.25000000,0.05000686,0.00740722,0.04208297,-0.04089792
0.25000000,0.05000686,0.00740722,0.04516044,-0.02445852
0.25000000,0.05000686,0.00740722,0.05317634,0.01702011
0.25000000,0.05000686,0.00740722,0.04860508,-0.00639963
0.25000000,0.05000686,0.00740722,0.05244133,0.01329585
0.25000000,0.05000686,0.00740722,0.05268769,0.01454591
0.25000000,0.05000686,0.00740722,0.05978929,0.04983042
0.25000000,0.05000686,0.00740722,0.04746777,-0.01232262
0.25000000,0.05000686,0.00740722,0.03906745,-0.05729134
0.25000000,0.05000686,0.00740722,0.05791201,0.04064246
0.25000000,0.05000686,0.00740722,0.04755145,-0.01188547
0.25000000,0.05000686,0.00740722,0.05826289,0.04236730
0.25000000,0.05000686,0.00740722,0.05284662,0.01535137
0.25000000,0.05000686,0.00740722,0.04903549,-0.00416820
0.25000000,0.05000686,0.00740722,0.05259032,0.01405203
0.25000000,0.05000686,0.00740722,0.06445844,0.07225827
